HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
0;;;T1.1;385;INFINITY;80;;0;248;100;INFINITY;0.000;;
150.0;225.0;39.0;IC1;;;;;248;283;34;-2000;-;;
;533;;;;;80;;283;482;200;INFINITY;-1.714;;
533;577;;;44;TRANS;;;482;517;34;2000;-;;
577;603;;;25;165;50;;517;810;293;INFINITY;0.000;;
603;647;;;44;TRANS;;;810;902;92;2000;-;;
647;700;;;53;INFINITY;80;;902;922;20;INFINITY;4.590;;
700;725;;;25;TRANS;;;922;1014;92;-2000;-;;
725;752;;;28;-405;50;;1014;1148;135;INFINITY;0.000;;
752;777;;;25;TRANS;;;1148;1190;41;-2000;-;;
777;;;;729;INFINITY;80;;1190;1211;21;INFINITY;-2.066;;
1044.0;1119.0;933.0;1.1;;;;;1211;1285;74;2000;-;;
;1507;;;;;80;;1285;1555;271;INFINITY;1.635;;
1507;1540;;;33;10000;80;;1555;1575;20;;-;;
1540;2154;;;614;INFINITY;80;;1575;2220;645;INFINITY;1.184;;
2154;2209;;;55;4000;80;;2220;2278;57;-2000;-;;
2209;2532;;;323;INFINITY;80;;2278;2683;406;INFINITY;-1.685;;
2532;2592;;;60;-4000;80;;2683;2854;171;2000;-;;
2592;;;;553;INFINITY;80;;2854;2881;27;INFINITY;6.864;;
3050.0;3125.0;2939;IC2;;;;;2881;3018;137;-2000;-;;
;3145;;;;;80;;3018;3154;135;INFINITY;0.000;;
3145;3205;;;60;TRANS;;;3154;3324;171;-2000;-;;
3205;3247;;;42;125;50;;3324;3352;27;INFINITY;-8.544;;
3247;3307;;;60;TRANS;;;3352;3522;171;2000;-;;
3307;3402;;;95;INFINITY;80;;3522;3731;208;INFINITY;0.000;;
3402;3422;;;20;TRANS;;;3731;3867;137;2000;-;;
3422;3459;;;38;405;50;;3867;3892;24;INFINITY;6.836;;
3459;3479;;;20;TRANS;;;3892;4028;137;-2000;-;;
3479;3518;;;38;INFINITY;80;;4028;4174;145;INFINITY;0.000;;
3518;3550;;;32;TRANS;;;4174;4303;129;-2000;-;;
3550;3603;;;53;-1005;80;;4303;4573;270;INFINITY;-6.447;;
3603;3635;;;32;TRANS;;;4573;4668;96;2000;-;;
3635;3840;;;205;INFINITY;80;;4668;4744;76;INFINITY;-1.666;;
3840;3969;;;129;-4000;80;;4744;4802;58;2000;-;;
3969;;;;200;INFINITY;80;;4802;4939;137;INFINITY;1.222;;
4071.0;4146.0;3960;2.1;;;;;4939;5027;88;-2000;-;;
;4169;;;;;80;;5027;5142;114;INFINITY;-3.188;;
4169;4224;;;55;TRANS;;;5142;5270;129;2000;-;;
4224;4313;;;90;405;70;;5270;5294;23;INFINITY;3.240;;
4313;4368;;;55;TRANS;;;5294;5358;65;-2000;-;;
4368;4389;;;21;INFINITY;80;;5358;5493;135;INFINITY;0.000;;
4389;4421;;;32;TRANS;;;5493;5560;67;;-;;
4421;4501;;;79;1000;80;;5560;5582;22;INFINITY;-3.326;;
4501;4533;;;32;TRANS;;;5582;5622;40;2000;-;;
4533;4565;;;32;TRANS;;;5622;6009;387;INFINITY;-1.315;;
4565;4640;;;75;-1000;80;;6009;6061;52;2000;-;;
4640;4672;;;32;TRANS;;;6061;6656;595;INFINITY;1.276;;
4672;4702;;;30;INFINITY;80;;6656;6681;26;;-;;
4702;4722;;;20;TRANS;;;6681;7138;456;INFINITY;0.000;;
4722;4861;;;139;-805;60;;7138;7252;115;-2000;-;;
4861;4881;;;20;TRANS;;;7252;7284;32;INFINITY;-5.727;;
4881;4912;;;31;INFINITY;80;;7284;7399;115;2000;-;;
4912;4950;;;38;TRANS;;;7399;7498;99;INFINITY;0.000;;
4950;4971;;;21;-130;40;;7498;7641;142;-2000;-;;
4971;5009;;;38;TRANS;;;7641;7870;229;INFINITY;-7.122;;
5009;5060;;;50;INFINITY;80;;7870;8059;189;2000;-;;
5060;5104;;;44;TRANS;;;8059;8082;23;INFINITY;2.320;;
5104;5126;;;22;110;40;;8082;8128;46;-2000;-;;
5126;5170;;;44;TRANS;;;8128;8262;134;INFINITY;0.000;;
5170;5193;;;23;INFINITY;80;;8262;8325;62;-2000;-;;
5193;5237;;;44;TRANS;;;8325;8502;178;INFINITY;-3.108;;
5237;5315;;;78;-125;40;;8502;8535;32;2000;-;;
5315;5359;;;44;TRANS;;;8535;9024;489;INFINITY;-1.492;;
5359;;;;133;INFINITY;80;;9024;9106;82;1000;-;;
5389.0;5464.0;5278;2.2;;;;;9106;9124;19;INFINITY;6.689;;
;5492;;;;;80;;9124;9358;234;-2000;-;;
5492;5534;;;42;TRANS;;;9358;9547;190;INFINITY;-4.992;;
5534;5596;;;63;805;80;;9547;9647;100;2000;-;;
5596;5638;;;42;TRANS;;;9647;10219;571;INFINITY;0.000;;
5638;6321;;;682;INFINITY;80;;10219;10248;30;-2000;-;;
6321;6363;;;42;TRANS;;;10248;10390;141;INFINITY;-1.496;;
6363;6480;;;117;805;80;;10390;10412;23;;-;;
6480;6522;;;42;TRANS;;;10412;10600;188;INFINITY;-0.369;;
6522;6670;;;148;INFINITY;80;;10600;10723;123;2000;-;;
6670;6715;;;45;TRANS;;;10723;11001;278;INFINITY;5.784;;
6715;6784;;;69;705;80;;11001;11116;116;-2000;-;;
6784;6829;;;45;TRANS;;;11116;11166;49;INFINITY;0.000;;
6829;;;;274;INFINITY;80;;11166;11171;6;;-;;
7049.0;7124.0;6938;2.3;;;;;11171;11826;655;INFINITY;-0.286;;
;7103;;;;;80;;11826;11890;64;-2000;-;;
7103;7422;;;319;4000;;;11890;12113;223;INFINITY;-3.466;;
7422;7532;;;110;INFINITY;80;;12113;12182;69;2000;-;;
7532;7557;;;25;TRANS;;;12182;12383;202;INFINITY;0.000;;
7557;7701;;;144;-1500;80;;12383;12491;108;-2000;-;;
7701;7726;;;25;TRANS;;;12491;12523;32;INFINITY;-5.378;;
7726;7940;;;214;INFINITY;80;;12523;12794;270;2500;-;;
7940;7965;;;25;TRANS;;;12794;12931;138;INFINITY;5.436;;
7965;8112;;;147;-1505;80;;12931;12952;21;;-;;
8112;8137;;;25;TRANS;;;12952;13201;249;INFINITY;4.391;;
8137;;;;263;INFINITY;80;;13201;13284;83;2000;-;;
8157.0;8232.0;8046;2.4;;;;;13284;13312;28;INFINITY;8.559;;
;8400;;;;;80;;13312;13483;171;-2000;-;;
8400;8425;;;25;TRANS;;;13483;14029;546;INFINITY;0.000;;
8425;8477;;;52;-1505;80;;14029;14100;71;2000;-;;
8477;8502;;;25;TRANS;;;14100;14293;193;INFINITY;3.526;;
8502;8637;;;135;INFINITY;80;;14293;14363;71;-2000;-;;
8637;8681;;;44;TRANS;;;14363;14499;135;INFINITY;0.000;;
8681;8743;;;62;135;50;;14499;14556;57;-2000;-;;
8743;8787;;;44;TRANS;;;14556;14581;26;INFINITY;-2.833;;
8787;8812;;;25;TRANS;;;14581;14714;133;2000;-;;
8812;8982;;;170;-405;55;;14714;15245;531;INFINITY;3.818;;
8982;9007;;;25;TRANS;;;15245;15356;111;-2000;-;;
9007;9103;;;95;INFINITY;80;;15356;15812;456;INFINITY;-1.731;;
9103;9128;;;25;TRANS;;;15812;15913;101;2000;-;;
9128;9343;;;216;505;60;;15913;15957;44;INFINITY;3.311;;
9343;9368;;;25;TRANS;;;15957;16023;66;-2000;-;;
9368;9393;;;25;TRANS;;;16023;16158;135;INFINITY;0.000;;
9393;9491;;;98;-505;60;;16158;16262;103;-2000;-;;
9491;9516;;;25;TRANS;;;16262;16428;166;INFINITY;-5.151;;
9516;9702;;;186;INFINITY;80;;16428;16475;47;2000;-;;
9702;9728;;;26;TRANS;;;16475;16964;489;INFINITY;-2.780;;
9728;9912;;;184;-305;50;;16964;17020;56;2000;-;;
9912;9938;;;26;TRANS;;;17020;17599;579;INFINITY;0.000;;
9938;;;;161;INFINITY;80;;17599;17714;115;-2000;-;;
9958.0;10033.0;9847;IC3;;;;;17714;17737;23;INFINITY;-5.742;;
;10099;;;;;80;;17737;17864;126;2000;-;;
10099;10119;;;20;TRANS;;;17864;18089;225;INFINITY;0.563;;
10119;10162;;;44;705;50;;18089;18174;85;2000;-;;
10162;10182;;;20;TRANS;;;18174;18424;249;INFINITY;4.835;;
10182;10246;;;64;INFINITY;80;;18424;18521;97;-2000;-;;
10246;10276;;;30;TRANS;;;18521;18860;340;INFINITY;0.000;;
10276;10373;;;98;255;50;;18860;18865;5;;-;;
10373;10403;;;30;TRANS;;;18865;19036;171;INFINITY;0.238;;
10403;10956;;;552;INFINITY;80;;19036;19213;177;4500;-;;
10956;10976;;;20;TRANS;;;19213;19492;279;INFINITY;4.171;;
10976;11434;;;458;805;50;;19492;19576;83;-2000;-;;
11434;11454;;;20;TRANS;;;19576;19711;135;INFINITY;0.000;;
11454;;;;160;INFINITY;80;;19711;19841;130;2000;-;;
11496.0;11571.0;11385;3.1;;;;;19841;19871;30;INFINITY;-6.501;;
;11614;;;;;80;;19871;20081;211;2000;-;;
11614;11660;;;46;TRANS;;;20081;20540;458;INFINITY;4.043;;
11660;11829;;;169;-175;50;;20540;20621;81;-2000;-;;
11829;11875;;;46;TRANS;;;20621;20756;135;INFINITY;0.000;;
11875;11895;;;20;INFINITY;80;;20756;20846;90;-2000;-;;
11895;11920;;;25;TRANS;;;20846;20875;30;INFINITY;-4.514;;
11920;11969;;;49;505;60;;20875;20979;104;2000;-;;
11969;11994;;;25;TRANS;;;20979;21263;284;INFINITY;0.667;;
11994;12160;;;166;INFINITY;80;;21263;21405;142;2000;-;;
12160;12182;;;22;TRANS;;;21405;21430;25;INFINITY;7.780;;
12182;12243;;;61;-1005;60;;21430;21586;156;-2000;-;;
12243;12263;;;20;TRANS;;;21586;21986;401;INFINITY;0.000;;
12263;;;;134;INFINITY;80;;21986;22048;61;-2000;-;;
12281.0;12356.0;12170;3.2;;;;;22048;22167;119;INFINITY;-3.056;;
;12397;;;;;80;;22167;22228;61;2000;-;;
12397;12419;;;22;TRANS;;;22228;22343;115;INFINITY;0.000;;
12419;12443;;;24;605;60;;22343;22484;141;2000;-;;
12443;12465;;;22;TRANS;;;22484;22729;246;INFINITY;7.059;;
12465;12571;;;105;INFINITY;80;;22729;22871;141;-2000;-;;
