HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
0;;;;385;INFINITY;80;;0;100;100;INFINITY;0.000;;
1.5;76.5;39.0;IC1;;;;;100;134;34;-2000;-;;
;385;;;;;80;;134;334;200;INFINITY;-1.714;;
385;429;;;44;TRANS;;;334;368;34;2000;-;;
429;454;;;25;165;50;;368;661;293;INFINITY;0.000;;
454;498;;;44;TRANS;;;661;753;92;2000;-;;
498;551;;;53;INFINITY;80;;753;773;20;INFINITY;4.590;;
551;576;;;25;TRANS;;;773;865;92;-2000;-;;
576;604;;;28;-405;50;;865;1000;135;INFINITY;0.000;;
604;629;;;25;TRANS;;;1000;1041;41;-2000;-;;
629;;;;729;INFINITY;80;;1041;1062;21;INFINITY;-2.066;;
895.5;970.5;933.0;1.1;;;;;1062;1136;74;2000;-;;
;1358;;;;;80;;1136;1407;271;INFINITY;1.635;;
1358;1391;;;33;10000;80;;1407;1427;20;;-;;
1391;2005;;;614;INFINITY;80;;1427;2072;645;INFINITY;1.184;;
2005;2061;;;55;4000;80;;2072;2129;57;-2000;-;;
2061;2384;;;323;INFINITY;80;;2129;2535;406;INFINITY;-1.685;;
2384;2444;;;60;-4000;80;;2535;2706;171;2000;-;;
2444;;;;553;INFINITY;80;;2706;2733;27;INFINITY;6.864;;
2901.5;2976.5;2939;IC2;;;;;2733;2870;137;-2000;-;;
;2997;;;;;80;;2870;3005;135;INFINITY;0.000;;
2997;3057;;;60;TRANS;;;3005;3176;171;-2000;-;;
3057;3098;;;42;125;50;;3176;3203;27;INFINITY;-8.544;;
3098;3158;;;60;TRANS;;;3203;3374;171;2000;-;;
3158;3253;;;95;INFINITY;80;;3374;3582;208;INFINITY;0.000;;
3253;3273;;;20;TRANS;;;3582;3719;137;2000;-;;
3273;3311;;;38;405;50;;3719;3743;24;INFINITY;6.836;;
3311;3331;;;20;TRANS;;;3743;3880;137;-2000;-;;
3331;;;;38;INFINITY;80;;3880;4025;145;INFINITY;0.000;;
3922.5;3997.5;3960;2.1;;;;;4025;4154;129;-2000;-;;
;3369;;;;;80;;4154;4424;270;INFINITY;-6.447;;
3369;3401;;;32;TRANS;;;4424;4520;96;2000;-;;
3401;3454;;;53;-1005;80;;4520;4596;76;INFINITY;-1.666;;
3454;3486;;;32;TRANS;;;4596;4653;58;2000;-;;
3486;3692;;;205;INFINITY;80;;4653;4791;137;INFINITY;1.222;;
3692;3821;;;129;-4000;80;;4791;4879;88;-2000;-;;
3821;4020;;;200;INFINITY;80;;4879;4993;114;INFINITY;-3.188;;
4020;4075;;;55;TRANS;;;4993;5122;129;2000;-;;
4075;4165;;;90;405;70;;5122;5145;23;INFINITY;3.240;;
4165;4220;;;55;TRANS;;;5145;5210;65;-2000;-;;
4220;4241;;;21;INFINITY;80;;5210;5345;135;INFINITY;0.000;;
4241;4273;;;32;TRANS;;;5345;5412;67;;-;;
4273;4352;;;79;1000;80;;5412;5434;22;INFINITY;-3.326;;
4352;4384;;;32;TRANS;;;5434;5474;40;2000;-;;
4384;4416;;;32;TRANS;;;5474;5861;387;INFINITY;-1.315;;
4416;4491;;;75;-1000;80;;5861;5913;52;2000;-;;
4491;4523;;;32;TRANS;;;5913;6507;595;INFINITY;1.276;;
4523;4554;;;30;INFINITY;80;;6507;6533;26;;-;;
4554;4574;;;20;TRANS;;;6533;6989;456;INFINITY;0.000;;
4574;4713;;;139;-805;60;;6989;7104;115;-2000;-;;
4713;4733;;;20;TRANS;;;7104;7136;32;INFINITY;-5.727;;
4733;4764;;;31;INFINITY;80;;7136;7250;115;2000;-;;
4764;4802;;;38;TRANS;;;7250;7350;99;INFINITY;0.000;;
4802;4823;;;21;-130;40;;7350;7492;142;-2000;-;;
4823;4861;;;38;TRANS;;;7492;7721;229;INFINITY;-7.122;;
4861;4911;;;50;INFINITY;80;;7721;7910;189;2000;-;;
4911;4955;;;44;TRANS;;;7910;7934;23;INFINITY;2.320;;
4955;4978;;;22;110;40;;7934;7980;46;-2000;-;;
4978;5022;;;44;TRANS;;;7980;8114;134;INFINITY;0.000;;
5022;5045;;;23;INFINITY;80;;8114;8176;62;-2000;-;;
5045;5089;;;44;TRANS;;;8176;8354;178;INFINITY;-3.108;;
5089;5166;;;78;-125;40;;8354;8386;32;2000;-;;
5166;5210;;;44;TRANS;;;8386;8875;489;INFINITY;-1.492;;
5210;;;;133;INFINITY;80;;8875;8957;82;1000;-;;
5240.5;5315.5;5278;2.2;;;;;8957;8976;19;INFINITY;6.689;;
;5343;;;;;80;;8976;9209;234;-2000;-;;
5343;5385;;;42;TRANS;;;9209;9399;190;INFINITY;-4.992;;
5385;5448;;;63;805;80;;9399;9499;100;2000;-;;
5448;5490;;;42;TRANS;;;9499;10070;571;INFINITY;0.000;;
5490;6172;;;682;INFINITY;80;;10070;10100;30;-2000;-;;
6172;6214;;;42;TRANS;;;10100;10241;141;INFINITY;-1.496;;
6214;6332;;;117;805;80;;10241;10264;23;;-;;
6332;6374;;;42;TRANS;;;10264;10451;188;INFINITY;-0.369;;
6374;6522;;;148;INFINITY;80;;10451;10575;123;2000;-;;
6522;6567;;;45;TRANS;;;10575;10852;278;INFINITY;5.784;;
6567;6636;;;69;705;80;;10852;10968;116;-2000;-;;
6636;6681;;;45;TRANS;;;10968;11017;49;INFINITY;0.000;;
6681;;;;274;INFINITY;80;;11017;11023;6;;-;;
6900.5;6975.5;6938;2.3;;;;;11023;11677;655;INFINITY;-0.286;;
;6955;;;;;80;;11677;11741;64;-2000;-;;
6955;7274;;;319;4000;;;11741;11964;223;INFINITY;-3.466;;
7274;7383;;;110;INFINITY;80;;11964;12033;69;2000;-;;
7383;7408;;;25;TRANS;;;12033;12235;202;INFINITY;0.000;;
7408;7553;;;144;-1500;80;;12235;12343;108;-2000;-;;
7553;7578;;;25;TRANS;;;12343;12375;32;INFINITY;-5.378;;
7578;7792;;;214;INFINITY;80;;12375;12645;270;2500;-;;
7792;7817;;;25;TRANS;;;12645;12783;138;INFINITY;5.436;;
7817;7964;;;147;-1505;80;;12783;12804;21;;-;;
7964;7989;;;25;TRANS;;;12804;13053;249;INFINITY;4.391;;
7989;;;;263;INFINITY;80;;13053;13136;83;2000;-;;
8008.5;8083.5;8046;2.4;;;;;13136;13164;28;INFINITY;8.559;;
;8251;;;;;80;;13164;13335;171;-2000;-;;
8251;8276;;;25;TRANS;;;13335;13881;546;INFINITY;0.000;;
8276;8328;;;52;-1505;80;;13881;13951;71;2000;-;;
