HORIZONTAL;;;;;;;;VERTICAL;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);
0;;;;299;INFINITY;80;;0;241;241;INFINITY;0.000;
156;231;193;ICB;;;;;241;291;50;-1000;-;
;299;;;;;80;;291;422;131;INFINITY;-5.026;
299;344;;;45;TRANS;;;422;511;89;1000;-;
344;370;;;27;-505;70;;511;750;239;INFINITY;3.875;
370;415;;;45;TRANS;;;750;771;21;;-;
415;517;;;101;INFINITY;80;;771;849;78;INFINITY;2.434;
517;569;;;52;TRANS;;;849;919;70;-5000;-;
569;617;;;49;-305;75;;919;1138;219;INFINITY;1.036;
617;669;;;52;TRANS;;;1138;1158;20;;-;
669;701;;;31;INFINITY;80;;1158;1326;168;INFINITY;0.000;
701;741;;;40;TRANS;;;1326;1379;53;1000;-;
741;794;;;54;-505;80;;1379;1679;300;INFINITY;5.344;
794;834;;;40;TRANS;;;1679;1732;53;-1000;-;
834;934;;;99;INFINITY;80;;1732;1848;116;INFINITY;0.000;
934;974;;;40;TRANS;;;1848;1868;20;;-;
974;1071;;;97;505;80;;1868;1952;84;INFINITY;-1.242;
1071;1111;;;40;TRANS;;;1952;2007;55;-1500;-;
1111;;;;465;INFINITY;80;;2007;2182;175;INFINITY;-4.898;
1176;1251;1213;B1;;;;;2182;2242;60;1500;-;
;1576;;;;;80;;2242;2369;127;INFINITY;-0.861;
1576;1608;;;32;TRANS;;;2369;2389;20;;-;
1608;1660;;;52;-1005;80;;2389;2581;192;INFINITY;0.000;
1660;1692;;;32;TRANS;;;2581;2619;38;1000;-;
1692;;;;193;INFINITY;80;;2619;2707;88;INFINITY;3.729;
1751;1826;1788;B2;;;;;2707;2744;37;-1000;-;
;1885;;;;;80;;2744;2807;63;INFINITY;0.000;
1885;1949;;;64;TRANS;;;2807;2909;102;-2000;-;
1949;2012;;;63;-505;80;;2909;3340;431;INFINITY;-5.082;
2012;2076;;;64;TRANS;;;3340;3442;102;2000;-;
2076;2142;;;66;INFINITY;80;;3442;3570;128;INFINITY;0.000;
2142;2177;;;35;TRANS;;;3570;3635;65;-2000;-;
2177;2251;;;74;106;40;;3635;3656;21;INFINITY;-3.264;
2251;2301;;;50;TRANS;;;3656;3721;65;2000;-;
2301;2318;;;17;INFINITY;80;;3721;3839;118;INFINITY;0.000;
2318;2366;;;48;TRANS;;;3839;3862;23;;-;
2366;2393;;;27;-75;35;;3862;3883;21;INFINITY;2.333;
2393;2441;;;48;TRANS;;;3883;3907;24;;-;
2441;;;;92;INFINITY;80;;3907;4125;218;INFINITY;0.000;
2449;2524;2486;B3;;;;;4125;4190;65;1000;-;
